Energy;Date;Topic
31491;2022-10-04 07:10:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31492;2022-10-04 07:11:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31512;2022-10-04 07:12:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31513;2022-10-04 07:13:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29887;2022-10-04 06:59:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29890;2022-10-04 07:00:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29892;2022-10-04 07:01:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29893;2022-10-04 07:01:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29896;2022-10-04 07:03:24+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
30241;2022-10-04 07:04:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29856;2022-10-04 06:54:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29858;2022-10-04 06:55:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29859;2022-10-04 06:56:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29871;2022-10-04 06:57:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29875;2022-10-04 06:58:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29524;2022-10-04 06:49:25+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29536;2022-10-04 06:50:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29838;2022-10-04 06:51:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29840;2022-10-04 06:52:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29841;2022-10-04 06:53:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29856;2022-10-04 06:54:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28705;2022-10-04 06:44:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28706;2022-10-04 06:45:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29162;2022-10-04 06:45:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29515;2022-10-04 06:47:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29522;2022-10-04 06:48:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
29524;2022-10-04 06:49:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28704;2022-10-04 06:39:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28705;2022-10-04 06:42:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28702;2022-10-04 06:34:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28703;2022-10-04 06:35:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28704;2022-10-04 06:38:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28701;2022-10-04 06:29:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28702;2022-10-04 06:32:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28699;2022-10-04 06:24:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28700;2022-10-04 06:25:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28698;2022-10-04 06:19:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28699;2022-10-04 06:22:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28696;2022-10-04 06:14:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28697;2022-10-04 06:15:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28698;2022-10-04 06:18:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28695;2022-10-04 06:08:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28696;2022-10-04 06:12:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28692;2022-10-04 05:59:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28693;2022-10-04 06:02:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28690;2022-10-04 05:54:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28691;2022-10-04 05:56:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28689;2022-10-04 05:49:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28690;2022-10-04 05:52:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28687;2022-10-04 05:44:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28688;2022-10-04 05:46:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28685;2022-10-04 05:39:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28686;2022-10-04 05:40:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28687;2022-10-04 05:43:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28684;2022-10-04 05:34:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28685;2022-10-04 05:36:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28682;2022-10-04 05:29:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28683;2022-10-04 05:30:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28684;2022-10-04 05:33:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28680;2022-10-04 05:24:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28681;2022-10-04 05:25:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28682;2022-10-04 05:27:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28678;2022-10-04 05:19:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28679;2022-10-04 05:20:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28680;2022-10-04 05:22:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28677;2022-10-04 05:14:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28678;2022-10-04 05:17:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28675;2022-10-04 05:09:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28676;2022-10-04 05:11:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28672;2022-10-04 04:59:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28673;2022-10-04 05:03:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28670;2022-10-04 04:54:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28671;2022-10-04 04:57:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28668;2022-10-04 04:49:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28669;2022-10-04 04:52:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28666;2022-10-04 04:44:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28667;2022-10-04 04:46:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28664;2022-10-04 04:39:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28665;2022-10-04 04:40:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28666;2022-10-04 04:43:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28663;2022-10-04 04:34:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28664;2022-10-04 04:37:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28661;2022-10-04 04:29:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28662;2022-10-04 04:31:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28659;2022-10-04 04:24:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28660;2022-10-04 04:25:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28661;2022-10-04 04:28:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28657;2022-10-04 04:19:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28658;2022-10-04 04:20:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28659;2022-10-04 04:22:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28656;2022-10-04 04:14:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28657;2022-10-04 04:17:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28654;2022-10-04 04:09:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28655;2022-10-04 04:12:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28650;2022-10-04 03:59:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28651;2022-10-04 04:01:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28648;2022-10-04 03:54:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28649;2022-10-04 03:55:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28650;2022-10-04 03:58:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28646;2022-10-04 03:49:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28647;2022-10-04 03:50:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28648;2022-10-04 03:52:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28645;2022-10-04 03:44:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28646;2022-10-04 03:47:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28643;2022-10-04 03:39:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28644;2022-10-04 03:41:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28645;2022-10-04 03:44:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28642;2022-10-04 03:34:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28643;2022-10-04 03:37:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28640;2022-10-04 03:29:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28641;2022-10-04 03:32:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28638;2022-10-04 03:24:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28639;2022-10-04 03:26:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28636;2022-10-04 03:19:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28637;2022-10-04 03:21:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28638;2022-10-04 03:23:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28634;2022-10-04 03:14:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28635;2022-10-04 03:15:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28636;2022-10-04 03:18:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28633;2022-10-04 03:09:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28634;2022-10-04 03:12:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28629;2022-10-04 02:59:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28630;2022-10-04 03:00:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28631;2022-10-04 03:03:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28627;2022-10-04 02:54:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28628;2022-10-04 02:55:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28629;2022-10-04 02:57:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28626;2022-10-04 02:49:23+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28627;2022-10-04 02:52:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28624;2022-10-04 02:44:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28625;2022-10-04 02:45:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28626;2022-10-04 02:48:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28622;2022-10-04 02:39:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28623;2022-10-04 02:40:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28624;2022-10-04 02:43:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28621;2022-10-04 02:34:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28622;2022-10-04 02:37:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28619;2022-10-04 02:29:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28620;2022-10-04 02:31:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28617;2022-10-04 02:24:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28618;2022-10-04 02:26:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28616;2022-10-04 02:19:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28617;2022-10-04 02:22:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28614;2022-10-04 02:14:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28615;2022-10-04 02:17:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28612;2022-10-04 02:09:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28613;2022-10-04 02:11:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28614;2022-10-04 02:13:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28609;2022-10-04 01:59:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28610;2022-10-04 02:02:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28607;2022-10-04 01:54:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28608;2022-10-04 01:56:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28605;2022-10-04 01:49:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28606;2022-10-04 01:50:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28607;2022-10-04 01:53:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28604;2022-10-04 01:44:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28605;2022-10-04 01:47:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28602;2022-10-04 01:39:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28603;2022-10-04 01:41:18+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28600;2022-10-04 01:33:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28601;2022-10-04 01:36:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28598;2022-10-04 01:29:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28599;2022-10-04 01:31:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28596;2022-10-04 01:24:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28597;2022-10-04 01:25:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28598;2022-10-04 01:28:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28595;2022-10-04 01:19:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28596;2022-10-04 01:22:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28593;2022-10-04 01:14:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28594;2022-10-04 01:16:18+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28591;2022-10-04 01:09:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28592;2022-10-04 01:11:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28588;2022-10-04 00:59:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28589;2022-10-04 01:01:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28586;2022-10-04 00:54:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28587;2022-10-04 00:55:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28588;2022-10-04 00:58:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28585;2022-10-04 00:49:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28586;2022-10-04 00:52:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28583;2022-10-04 00:44:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28584;2022-10-04 00:46:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28581;2022-10-04 00:39:22+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28582;2022-10-04 00:40:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28583;2022-10-04 00:43:18+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28580;2022-10-04 00:34:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28581;2022-10-04 00:38:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28578;2022-10-04 00:29:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28579;2022-10-04 00:31:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28576;2022-10-04 00:24:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28577;2022-10-04 00:26:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28578;2022-10-04 00:28:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28574;2022-10-04 00:19:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28575;2022-10-04 00:20:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28576;2022-10-04 00:23:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28572;2022-10-04 00:14:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28573;2022-10-04 00:15:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28574;2022-10-04 00:18:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28571;2022-10-04 00:09:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28572;2022-10-04 00:11:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28567;2022-10-03 23:59:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28568;2022-10-04 00:01:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28569;2022-10-04 00:03:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28565;2022-10-03 23:54:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28566;2022-10-03 23:55:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28567;2022-10-03 23:58:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28563;2022-10-03 23:49:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28564;2022-10-03 23:50:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28565;2022-10-03 23:52:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28562;2022-10-03 23:44:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28563;2022-10-03 23:47:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28560;2022-10-03 23:39:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28561;2022-10-03 23:42:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28558;2022-10-03 23:34:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28559;2022-10-03 23:36:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28556;2022-10-03 23:29:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28557;2022-10-03 23:30:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28558;2022-10-03 23:33:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28555;2022-10-03 23:24:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28556;2022-10-03 23:27:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28553;2022-10-03 23:19:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28554;2022-10-03 23:21:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28551;2022-10-03 23:14:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28552;2022-10-03 23:15:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28553;2022-10-03 23:18:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28549;2022-10-03 23:09:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28550;2022-10-03 23:10:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28551;2022-10-03 23:12:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28546;2022-10-03 22:59:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28547;2022-10-03 23:02:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28544;2022-10-03 22:54:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28545;2022-10-03 22:56:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28542;2022-10-03 22:49:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28543;2022-10-03 22:50:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28544;2022-10-03 22:53:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28541;2022-10-03 22:44:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28542;2022-10-03 22:47:18+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28539;2022-10-03 22:39:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28540;2022-10-03 22:41:59+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28537;2022-10-03 22:34:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28538;2022-10-03 22:35:14+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28539;2022-10-03 22:38:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28536;2022-10-03 22:29:10+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28537;2022-10-03 22:32:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28534;2022-10-03 22:24:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28535;2022-10-03 22:27:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28532;2022-10-03 22:19:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28533;2022-10-03 22:21:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28534;2022-10-03 22:23:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28530;2022-10-03 22:14:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28531;2022-10-03 22:15:12+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28532;2022-10-03 22:18:18+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28528;2022-10-03 22:09:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28529;2022-10-03 22:10:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28530;2022-10-03 22:13:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28525;2022-10-03 21:59:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28526;2022-10-03 22:01:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28527;2022-10-03 22:03:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28523;2022-10-03 21:54:09+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28524;2022-10-03 21:55:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28525;2022-10-03 21:58:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
28522;2022-10-03 21:49:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
